dist_group,main_mode,share
0 - 1000,bike,0.168063782894521
0 - 1000,car,0.062471966825469696
0 - 1000,pt,0.013601428205106784
0 - 1000,ride,0.01981403730692853
0 - 1000,walk,0.7360487847679741
1000 - 2000,bike,0.279919544543949
1000 - 2000,car,0.19511797521283758
1000 - 2000,pt,0.11370848386715753
1000 - 2000,ride,0.08700673189032776
1000 - 2000,walk,0.3242472644857281
2000 - 5000,bike,0.2188449869771965
2000 - 5000,car,0.3223133364876468
2000 - 5000,pt,0.29309810447618856
2000 - 5000,ride,0.11987572669663317
2000 - 5000,walk,0.04586784536233484
5000 - 10000,bike,0.15210700219252382
5000 - 10000,car,0.3980653893496603
5000 - 10000,pt,0.3414364117183332
5000 - 10000,ride,0.09790504671193327
5000 - 10000,walk,0.01048615002754944
10000 - 20000,bike,0.08928513662206553
10000 - 20000,car,0.6346023918059945
10000 - 20000,pt,0.18757443467680926
10000 - 20000,ride,0.08740445099805531
10000 - 20000,walk,0.0011335858970754275
20000+,bike,0.02904244930982517
20000+,car,0.6350391370704082
20000+,pt,0.254514800653142
20000+,ride,0.0812433492384988
20000+,walk,0.000160263728125919
