age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,dist_group,main_mode,share
,,,,,,,,0 - 1000,bike,0.04410247484816673
,,,,,,,,0 - 1000,car,0.01639358759028388
,,,,,,,,0 - 1000,pt,0.003569220179289581
,,,,,,,,0 - 1000,ride,0.005199502634769867
,,,,,,,,0 - 1000,walk,0.1931503174460054
,,,,,,,,1000 - 2000,bike,0.04684610661470524
,,,,,,,,1000 - 2000,car,0.03265408810291519
,,,,,,,,1000 - 2000,pt,0.019029752877441585
,,,,,,,,1000 - 2000,ride,0.01456106484087046
,,,,,,,,1000 - 2000,walk,0.05426459930253306
,,,,,,,,2000 - 5000,bike,0.059386349854307977
,,,,,,,,2000 - 5000,car,0.08746379264953948
,,,,,,,,2000 - 5000,pt,0.07953587063829404
,,,,,,,,2000 - 5000,ride,0.032529791716853246
,,,,,,,,2000 - 5000,walk,0.012446818861949739
,,,,,,,,5000 - 10000,bike,0.029014695506485163
,,,,,,,,5000 - 10000,car,0.07593171844273278
,,,,,,,,5000 - 10000,pt,0.06512963491513254
,,,,,,,,5000 - 10000,ride,0.018675570999022506
,,,,,,,,5000 - 10000,walk,0.002000252754304971
,,,,,,,,10000 - 20000,bike,0.006149270147188949
,,,,,,,,10000 - 20000,car,0.04370650805839613
,,,,,,,,10000 - 20000,pt,0.012918677342863463
,,,,,,,,10000 - 20000,ride,0.00601974305677382
,,,,,,,,10000 - 20000,walk,7.807263537789801e-05
,,,,,,,,20000+,bike,0.0011396988393343062
,,,,,,,,20000+,car,0.024920534756899967
,,,,,,,,20000+,pt,0.009987801641773252
,,,,,,,,20000+,ride,0.003188193593555631
,,,,,,,,20000+,walk,6.289152233131615e-06
0 - 12,,,,,,,,0 - 1000,bike,0.0785811083365312
0 - 12,,,,,,,,0 - 1000,car,0.0
0 - 12,,,,,,,,0 - 1000,pt,0.0010826508670974844
0 - 12,,,,,,,,0 - 1000,ride,0.02798640847491647
0 - 12,,,,,,,,0 - 1000,walk,0.2656387006715944
0 - 12,,,,,,,,1000 - 2000,bike,0.08338081575117655
0 - 12,,,,,,,,1000 - 2000,car,0.000691512324305244
0 - 12,,,,,,,,1000 - 2000,pt,0.0254569353354219
0 - 12,,,,,,,,1000 - 2000,ride,0.06120224985578292
0 - 12,,,,,,,,1000 - 2000,walk,0.07671115535097482
0 - 12,,,,,,,,2000 - 5000,bike,0.03541757621190808
