age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,zone,main_mode,share
,,,,,,,,bike,0.18663859581018835
,,,,,,,,car,0.28107022960076744
,,,,,,,,pt,0.19017095759479447
,,,,,,,,ride,0.08017386684184553
,,,,,,,,walk,0.2619463501524042
0 - 12,,,,,,,,bike,0.19838836618535596
0 - 12,,,,,,,,car,0.0006915123243052441
0 - 12,,,,,,,,pt,0.14051156977842846
0 - 12,,,,,,,,ride,0.3144821574397947
0 - 12,,,,,,,,walk,0.3459263942721156
12 - 18,,,,,,,,bike,0.2479446017042153
12 - 18,,,,,,,,car,0.0
12 - 18,,,,,,,,pt,0.3880532985129083
12 - 18,,,,,,,,ride,0.07531532282362738
12 - 18,,,,,,,,walk,0.28868677695924894
18 - 25,,,,,,,,bike,0.2886561493660283
18 - 25,,,,,,,,car,0.12778072819966643
18 - 25,,,,,,,,pt,0.3185934716286036
18 - 25,,,,,,,,ride,0.06241796865206998
18 - 25,,,,,,,,walk,0.20255168215363178
25 - 35,,,,,,,,bike,0.23252970596574923
25 - 35,,,,,,,,car,0.25535759079701886
25 - 35,,,,,,,,pt,0.2271067315298373
25 - 35,,,,,,,,ride,0.0311721362295414
25 - 35,,,,,,,,walk,0.2538338354778532
35 - 66,,,,,,,,bike,0.19192460457905014
35 - 66,,,,,,,,car,0.41624075176624314
35 - 66,,,,,,,,pt,0.14459627589885968
35 - 66,,,,,,,,ride,0.033476626487376294
35 - 66,,,,,,,,walk,0.21376174126847064
66+,,,,,,,,bike,0.07782285985974295
66+,,,,,,,,car,0.27203589107861115
66+,,,,,,,,pt,0.198201065038771
66+,,,,,,,,ride,0.1083432963929638
66+,,,,,,,,walk,0.3435968876299111
,0 - 250,,,,,,,bike,0.27373446712781174
,0 - 250,,,,,,,car,0.28191726288052255
,0 - 250,,,,,,,pt,0.16597239347564008
,0 - 250,,,,,,,ride,0.2564195561753036
,0 - 250,,,,,,,walk,0.02195632034072204
,250 - 500,,,,,,,bike,0.45249362842316193
,250 - 500,,,,,,,car,0.06411998796629413
,250 - 500,,,,,,,pt,0.18920658009479652
,250 - 500,,,,,,,ride,0.04616554473357526
,250 - 500,,,,,,,walk,0.24801425878217223
,500 - 750,,,,,,,bike,0.2959819858648523
,500 - 750,,,,,,,car,0.049575392895810616
,500 - 750,,,,,,,pt,0.2925429231829485
,500 - 750,,,,,,,ride,0.02424953046974437
,500 - 750,,,,,,,walk,0.3376501675866441
,750 - 1000,,,,,,,bike,0.13364484882221653
,750 - 1000,,,,,,,car,0.2557541885506998
,750 - 1000,,,,,,,pt,0.20035655883216152
,750 - 1000,,,,,,,ride,0.10235827980176498
,750 - 1000,,,,,,,walk,0.3078861239931571
,1000 - 1250,,,,,,,bike,0.1800672076801884
,1000 - 1250,,,,,,,car,0.2404285116318995
,1000 - 1250,,,,,,,pt,0.20559242410022038
,1000 - 1250,,,,,,,ride,0.07957144321122973
,1000 - 1250,,,,,,,walk,0.2943404133764618
