purpose,main_mode,share
work,bike,0.1934593939382488
work,car,0.4173025935261965
work,pt,0.23443149451042325
work,ride,0.019242737464857308
work,walk,0.13556378056027418
work_business,bike,0.21610771682455274
work_business,car,0.5155130579481118
work_business,pt,0.16132311729915766
work_business,ride,0.03098871677901805
work_business,walk,0.07606739114915978
edu_kiga,bike,0.2676499306820221
edu_kiga,car,0.012650293196321577
edu_kiga,pt,0.07262355346079302
edu_kiga,ride,0.3649848176463384
edu_kiga,walk,0.28209140501452495
edu_primary,bike,0.1764826217294248
edu_primary,car,0.008352483387162615
edu_primary,pt,0.15442361690245504
edu_primary,ride,0.19116612622583845
edu_primary,walk,0.4695751517551191
edu_secondary,bike,0.19951273267005284
edu_secondary,car,0.004433395123782226
edu_secondary,pt,0.48722679142531744
edu_secondary,ride,0.04646348381616398
edu_secondary,walk,0.2623635969646835
edu_higher,bike,0.4509813885681157
edu_higher,car,0.05000751018669638
edu_higher,pt,0.38358280438017867
edu_higher,ride,0.0005068863669027521
edu_higher,walk,0.11492141049810639
edu_other,bike,0.23237204873640677
edu_other,car,0.2111451498847921
edu_other,pt,0.37743816291578086
edu_other,ride,0.06031723506854687
edu_other,walk,0.11872740339447341
shop_daily,bike,0.1418191752918905
shop_daily,car,0.2629233156188034
shop_daily,pt,0.1296760990195363
shop_daily,ride,0.07849819331523145
shop_daily,walk,0.38708321675453844
shop_other,bike,0.1756610713428007
shop_other,car,0.2767621270029233
shop_other,pt,0.13543832614566126
shop_other,ride,0.11441399800038081
shop_other,walk,0.29772447750823405
personal_business,bike,0.13744517516377885
personal_business,car,0.2475198228573052
personal_business,pt,0.2365744082103616
personal_business,ride,0.0647118061047131
personal_business,walk,0.3137487876638412
transport,bike,0.21766860412459807
transport,car,0.4270786722693921
transport,pt,0.0721501686707994
transport,ride,0.07846827126455642
transport,walk,0.20463428367065406
leisure,bike,0.18839411402870582
leisure,car,0.295627650152668
leisure,pt,0.21488620752639778
leisure,ride,0.12766980471981715
leisure,walk,0.17342222357241116
dining,bike,0.17164536867678756
dining,car,0.11391612837158081
dining,pt,0.09613027688290957
dining,ride,0.060135346064210754
dining,walk,0.5581728800045113
outside_recreation,bike,0.10662052247429418
outside_recreation,car,0.12121143448511297
outside_recreation,pt,0.051612610511109984
outside_recreation,ride,0.056906257180400405
outside_recreation,walk,0.6636491753490824
home,bike,0.19322249066773864
home,car,0.2739450093149994
home,pt,0.19693597193930992
home,ride,0.08273069473264885
home,walk,0.25316583334530324
other,bike,0.1294585075273894
other,car,0.32674392435307537
other,pt,0.13512906597575278
other,ride,0.09409589335607853
other,walk,0.31457260878770404
